longitud,latitud
-71.545253947475189,-33.019017950027454
-71.545252392866402,-33.01896388149401
-71.54523099983345,-33.018964318058543
-71.545230481635798,-33.018946295213624
-71.545189256827996,-33.01894713647156
-71.545306372658118,-33.019352310934636
-71.545318806892524,-33.019395328215921
-71.545329009261891,-33.019395120009527
-71.545329527488491,-33.019413142851754
-71.545350920628167,-33.019412706265101
-71.545372313767402,-33.019412269674788
-71.545372832003125,-33.019430292516354
-71.545394225146239,-33.019429855922077
-71.54539474338678,-33.019447878763287
-71.545416136533774,-33.019447442165053
-71.545414063557004,-33.019375350801084
-71.54539267042739,-33.019375787398111
-71.545391633950473,-33.019339741715171
-71.545370240829087,-33.019340178307949
-71.545370759062976,-33.01935820114975
-71.545349365936787,-33.019358637739167
-71.545348847707245,-33.019340614897061
-71.545306061462156,-33.019341488064306
-71.545306372658118,-33.019352310934636
-71.545367131435455,-33.019232041255897
-71.545324345243429,-33.01923291442688
-71.545324863465851,-33.019250937269632
-71.545367649666574,-33.019250064098046
-71.545367131435455,-33.019232041255897
-71.545331746391369,-33.018745861074493
-71.545310353412418,-33.018746297650083
-71.545311389832804,-33.018782343338742
-71.545332782820438,-33.018781906762555
-71.545331746391369,-33.018745861074493
-71.545543515972952,-33.019410762762035
-71.545542944958399,-33.019408787308997
-71.545522065729074,-33.019409213440085
-71.54552154746338,-33.019391190600551
-71.545500154331734,-33.019391627216201
-71.545500672593079,-33.019409650056026
-71.545479279456615,-33.019410086668302
-71.545480315971986,-33.019446132348385
-71.545501709117133,-33.019445695735506
-71.545523102261811,-33.019445259118967
-71.545522583995208,-33.019427236279554
-71.545543977135083,-33.019426799659648
-71.545543515972952,-33.019410762762035
-71.545476169921599,-33.019301949626652
-71.545454776810729,-33.019302386233477
-71.54545633156313,-33.019356454755474
-71.545477724687018,-33.019356018147747
-71.545478242943091,-33.019374040987998
-71.545499636070872,-33.019373604376312
-71.545498081291015,-33.019319535856297
-71.545476688176279,-33.019319972467088
-71.545476169921599,-33.019301949626652
-71.545452904481579,-33.01984342695318
-71.545468373925445,-33.019859087777832
-71.545496690652612,-33.019874130274601
-71.545514136470203,-33.019877858577587
-71.545512592731242,-33.019824175355716
-71.545469806258026,-33.01982504859037
-71.545470324521773,-33.019843071429371
-71.545452904481579,-33.01984342695318
-71.535662805254901,-33.028681991179695
-71.535671714387576,-33.028677745197079
-71.53569433301621,-33.028656952300167
-71.535704372042019,-33.02863839612413
-71.535704015018865,-33.028625936812979
-71.535708954434213,-33.028625836378218
-71.53571200694654,-33.028603268276356
-71.535708747708796,-33.028589773678632
-71.535702982120213,-33.028589890912151
-71.535703498569305,-33.028607913862594
-71.535682103047947,-33.02860834890231
-71.535682619493159,-33.028626371852994
-71.535661223966997,-33.028626806889335
-71.535661740408315,-33.02864482984026
-71.535640344877351,-33.028645264873241
-71.535640861314789,-33.028663287824408
-71.535619465779021,-33.028663722854027
-71.535619982212566,-33.028681745805422
-71.535641377752683,-33.028681310775504
-71.535662773292344,-33.028680875741927
-71.535662805254901,-33.028681991179695
-71.548855438128314,-33.022920733418111
-71.548871307979411,-33.022920813165378
-71.548898046959607,-33.022913642416242
-71.548897448386953,-33.022892857273796
-71.548876054465808,-33.022893294508975
-71.548876573483327,-33.022911317291296
-71.54885517955735,-33.022911754523115
-71.548855438128314,-33.022920733418111
-71.54888810607217,-33.022568447187403
-71.548845318385787,-33.022569321643331
-71.548847394408043,-33.022641412777688
-71.548890182129171,-33.022640538319372
-71.54888810607217,-33.022568447187403
-71.548864117190078,-33.022478770499397
-71.548821329546229,-33.022479644945008
-71.54882288654224,-33.022533713297662
-71.548844280377452,-33.022533276075791
-71.54888706804644,-33.022532401621056
-71.548886030022572,-33.022496356054482
-71.548864636196981,-33.022496793283082
-71.548864117190078,-33.022478770499397
-71.548772314062319,-33.022264245952833
-71.548686738973899,-33.022265994756431
-71.548688295875067,-33.022320063116616
-71.54870968966091,-33.022319625920311
-71.54873108344627,-33.022319188720338
-71.548731602422947,-33.022337211506347
-71.548752996212201,-33.022336774302417
-71.548753515193667,-33.022354797088063
-71.548732121400079,-33.022355234292299
-71.548733678334258,-33.022409302649791
-71.548755072140892,-33.022408865444667
-71.548797859752767,-33.022407991023421
-71.548797340761212,-33.022389968238549
-71.548818734562104,-33.022389531022732
-71.548817696571689,-33.022353485453408
-71.548796302779479,-33.022353922668628
-71.548795783789316,-33.022335899883572
-71.548774390000986,-33.022336337094821
-71.548772314062319,-33.022264245952833
-71.548685701042103,-33.022229949182673
-71.548664307277534,-33.02223038637382
-71.548665345200646,-33.022266431948182
-71.548686738973899,-33.022265994756431
-71.548685701042103,-33.022229949182673
-71.548140966861467,-33.018922934470652
-71.548076787935344,-33.018924245637216
-71.548078863043486,-33.018996336856894
-71.548100256036705,-33.018995899803841
-71.548101293602244,-33.019031945412713
-71.548165472605177,-33.019030634229786
-71.548164953809149,-33.019012611426277
-71.548186346804854,-33.019012174358274
-71.548185309205493,-33.018976128751667
-71.548163916218471,-33.018976565819074
-71.54816287862964,-33.018940520211622
-71.548141485650845,-33.018940957274765
-71.548140966861467,-33.018922934470652
-71.548214319276255,-33.018957502655752
-71.548204932023381,-33.01891419740403
-71.548206183388714,-33.018957668877512
-71.548214319276255,-33.018957502655752
-71.548242103160163,-33.019461870258922
-71.548220710056782,-33.019462307341726
-71.548221228873047,-33.019480330143161
-71.548242621980791,-33.019479893060058
-71.548242103160163,-33.019461870258922
-71.548362558721266,-33.019928277561242
-71.548276985862387,-33.019930025974851
-71.548277504699371,-33.019948048774133
-71.548298897919125,-33.019947611675924
-71.548299416760926,-33.019965634474865
-71.54832080998456,-33.019965197372692
-71.54832132883115,-33.019983220171262
-71.548364115285722,-33.019982345955334
-71.548362558721266,-33.019928277561242
-71.54820539249566,-33.019931488716146
-71.548208776979706,-33.019949452968177
-71.548213325037324,-33.019949360046787
-71.548212806213385,-33.019931337246604
-71.54820539249566,-33.019931488716146
-71.548258186814323,-33.020020577066454
-71.54823679357628,-33.020021014158537
-71.548238350069482,-33.020075082557142
-71.548259743320571,-33.020074645464156
-71.548260262156901,-33.020092668263274
-71.54828165541187,-33.020092231166331
-71.548282174253018,-33.020110253965086
-71.548324960770273,-33.020109379759624
-71.54832340422216,-33.02005531136497
-71.548302010976798,-33.020055748468636
-71.548301492132694,-33.020037725670001
-71.548280098891226,-33.020038162769708
-71.548258705649289,-33.02003859986575
-71.548258186814323,-33.020020577066454
-71.548434773532534,-33.019998935627704
-71.548424619941073,-33.019945042896737
-71.548405864010974,-33.019945426129951
-71.54840690173846,-33.019981471724762
-71.548428294964125,-33.019981034603987
